ProductID,ProductName,Category,Price,QuantitySold,Promotion,Discount,Rating,CustomerAge,CustomerGender,CustomerLocation,PurchaseDate
1001,Badminton Set,Electronics,50.0,77,Yes,32,4.0,64,Female,Australia,2022-01-01
1002,Curtains,Electronics,196.0,38,Yes,45,,24,Male,China,2022-01-02
1003,Hoodie,Beauty,336.0,8,No,4,,36,Male,India,2022-01-03
1004,Mascara,Beauty,191.0,78,No,42,1.0,39,Male,Australia,2022-01-04
1005,Gaming Console,Sports,102.0,74,No,47,,52,Female,Russia,2022-01-05
1006,Sofa,Home & Garden,353.0,1,No,33,5.0,47,Male,Brazil,2022-01-06
1007,Badminton Set,Electronics,118.0,50,No,39,1.0,46,Male,Russia,2022-01-07
1008,Jacket,Home & Garden,410.0,30,Yes,10,1.0,39,Female,Germany,2022-01-08
1009,Dining Table,Home & Garden,139.0,22,Yes,49,3.0,28,Female,France,2022-01-09
1010,T-Shirt,Beauty,495.0,39,Yes,2,1.0,37,Female,South Africa,2022-01-10
1011,T-Shirt,Sports,269.0,57,Yes,32,4.0,46,Male,Canada,2022-01-11
1012,Refrigerator,Clothing,499.0,95,Yes,10,3.0,58,Male,South Africa,2022-01-12
1013,Football,Sports,241.0,60,No,15,5.0,59,Female,Italy,2022-01-13
1014,Skateboard,Sports,112.0,75,No,17,5.0,51,Female,India,2022-01-14
1015,Refrigerator,Home & Garden,122.0,22,No,29,4.0,18,Male,Mexico,2022-01-15
1016,Tablet,Sports,210.0,70,No,47,4.0,48,Female,Russia,2022-01-16
1017,Bed,Electronics,218.0,13,Yes,9,5.0,47,Male,Japan,2022-01-17
1018,Laptop,Home & Garden,138.0,50,Yes,17,,35,Female,Brazil,2022-01-18
1019,Refrigerator,Electronics,225.0,50,Yes,37,5.0,34,Female,Canada,2022-01-19
1020,Eyeshadow Palette,Clothing,318.0,87,No,18,5.0,55,Female,United Kingdom,2022-01-20
1021,Rug,Home & Garden,122.0,17,Yes,35,5.0,31,Male,South Africa,2022-01-21
1022,Golf Clubs,Clothing,294.0,47,No,12,4.0,40,Male,France,2022-01-22
1023,Laptop,Home & Garden,126.0,32,Yes,45,3.0,42,Female,South Africa,2022-01-23
1024,Sofa,Beauty,208.0,30,Yes,2,4.0,32,Male,United States,2022-01-24
1025,Yoga Mat,Sports,373.0,28,No,9,5.0,63,Female,Japan,2022-01-25
1026,Jeans,Beauty,147.0,75,Yes,37,1.0,39,Female,Spain,2022-01-26
1027,Bed,Clothing,430.0,38,Yes,0,5.0,20,Male,Germany,2022-01-27
1028,Eyeshadow Palette,Sports,151.0,6,No,26,3.0,36,Male,France,2022-01-28
1029,Microwave,Home & Garden,181.0,87,Yes,45,2.0,61,Male,Spain,2022-01-29
1030,Hair Dryer,Sports,151.0,59,No,7,2.0,51,Male,Australia,2022-01-30
1031,Vacuum Cleaner,Electronics,68.0,99,Yes,45,1.0,52,Female,China,2022-01-31
1032,Foundation,Sports,131.0,59,Yes,41,4.0,18,Male,Australia,2022-02-01
1033,Air Purifier,Electronics,446.0,87,Yes,16,3.0,38,Male,Russia,2022-02-02
1034,Sweater,Sports,,54,Yes,8,,46,Female,Australia,2022-02-03
1035,Hoodie,Electronics,388.0,63,Yes,5,4.0,23,Female,United Kingdom,2022-02-04
1036,Facial Cleanser,Clothing,414.0,74,Yes,42,,54,Female,Russia,2022-02-05
1037,Eyeshadow Palette,Beauty,380.0,-6,Yes,24,4.0,18,Female,India,2022-02-06
1038,Tablet,Home & Garden,178.0,-9,Yes,38,5.0,18,Male,United States,2022-02-07
1039,Tennis Racket,Sports,393.0,11,No,48,5.0,44,Male,Japan,2022-02-08
1040,TV,Beauty,359.0,46,No,27,1.0,38,Female,Mexico,2022-02-09
1041,Sofa,Home & Garden,138.0,55,Yes,32,5.0,33,Female,India,2022-02-10
1042,Printer,Home & Garden,262.0,63,Yes,36,5.0,61,Male,France,2022-02-11
1043,Badminton Set,Electronics,192.0,87,No,8,2.0,57,Male,Spain,2022-02-12
1044,Shorts,Clothing,114.0,5,Yes,17,1.0,43,Male,Spain,2022-02-13
1045,Headphones,Clothing,125.0,40,Yes,20,4.0,33,Male,Australia,2022-02-14
1046,Microwave,Beauty,248.0,28,No,1,2.0,45,Male,United Kingdom,2022-02-15
1047,Shoes,Clothing,192.0,75,Yes,42,5.0,18,Female,South Africa,2022-02-16
1048,Nail Polish,Sports,454.0,65,Yes,37,3.0,53,Female,South Africa,2022-02-17
1049,Printer,Clothing,452.0,77,No,39,,27,Female,Mexico,2022-02-18
1050,Coffee Maker,Beauty,365.0,29,Yes,35,4.0,60,Female,Russia,2022-02-19
1051,Laptop,Clothing,142.0,27,Yes,49,2.0,34,Male,France,2022-02-20
1052,Socks,Sports,466.0,49,No,42,2.0,40,Female,China,2022-02-21
1053,Air Purifier,Electronics,354.0,48,Yes,36,4.0,24,Male,United States,2022-02-22
1054,Facial Cleanser,Beauty,273.0,-1,No,14,5.0,61,Male,Japan,2022-02-23
1055,TV,Electronics,340.0,88,Yes,27,5.0,24,Male,China,2022-02-24
1056,Eyeshadow Palette,Electronics,477.0,53,Yes,17,3.0,61,Male,Russia,2022-02-25
1057,Gaming Console,Electronics,151.0,52,No,33,3.0,32,Male,United Kingdom,2022-02-26
1058,Facial Cleanser,Home & Garden,316.0,38,No,21,1.0,51,Male,United States,2022-02-27
1059,Basketball,Home & Garden,404.0,53,Yes,10,4.0,63,Male,France,2022-02-28
1060,Shoes,Electronics,159.0,21,No,12,1.0,62,Female,Australia,2022-03-01
1061,Skirt,Beauty,379.0,-4,No,3,4.0,21,Male,Australia,2022-03-02
1062,Football,Sports,499.0,10,Yes,21,4.0,31,Female,Brazil,2022-03-03
1063,Nail Polish,Sports,479.0,9,Yes,6,,31,Female,Australia,2022-03-04
1064,Skateboard,Clothing,314.0,15,Yes,42,3.0,33,Male,Canada,2022-03-05
1065,Headphones,Beauty,52.0,57,No,23,3.0,24,Male,Italy,2022-03-06
1066,Laptop,Home & Garden,134.0,99,No,3,4.0,49,Female,Australia,2022-03-07
1067,Camera,Electronics,331.0,75,No,27,4.0,36,Female,Italy,2022-03-08
1068,Foundation,Clothing,377.0,4,No,14,3.0,19,Female,Canada,2022-03-09
1069,Headphones,Sports,353.0,93,Yes,0,,27,Female,Mexico,2022-03-10
1070,Curtains,Home & Garden,499.0,74,No,2,5.0,34,Male,Italy,2022-03-11
1071,Shorts,Home & Garden,461.0,68,Yes,13,3.0,54,Male,Germany,2022-03-12
1072,Coffee Maker,Electronics,166.0,75,No,37,3.0,29,Male,Canada,2022-03-13
1073,Eyeshadow Palette,Sports,270.0,81,Yes,49,4.0,23,Female,United States,2022-03-14
1074,Exercise Bike,Beauty,203.0,3,Yes,0,5.0,39,Male,China,2022-03-15
1075,Wireless Earbuds,Home & Garden,202.0,16,Yes,37,1.0,49,Female,United States,2022-03-16
1076,Football,Electronics,61.0,94,No,37,4.0,58,Male,China,2022-03-17
1077,Shoes,Beauty,182.0,29,Yes,20,4.0,37,Female,Brazil,2022-03-18
